//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
m	393	427	0	0	0	0	20s	100	1	3955
m	376	427	0	0	0	0	20s	100	1	3955
m	389	429	0	0	0	0	20s	100	1	3955
m	380	429	0	0	0	0	20s	100	1	3955
m	385	430	0	0	0	0	20s	100	1	3955
m	387	428	0	0	0	0	20s	100	1	3955
m	382	428	0	0	0	0	20s	100	1	3955
m	374	426	0	0	0	0	20s	100	1	3955
m	394	424	0	0	0	0	20s	100	1	3955
m	386	424	0	0	0	0	20s	100	1	3955
m	382	424	0	0	0	0	20s	100	1	3954
m	377	424	0	0	0	0	20s	100	1	3954
m	390	424	0	0	0	0	20s	100	1	3954
m	394	421	0	0	0	0	20s	100	1	3954
m	389	421	0	0	0	0	20s	100	1	3954
m	381	422	0	0	0	0	20s	100	1	3954
m	376	422	0	0	0	0	20s	100	1	3954
m	373	422	0	0	0	0	20s	100	1	3954
m	395	422	0	0	0	0	20s	100	1	3954
m	385	430	0	0	0	0	20s	100	1	3953
m	383	430	0	0	0	0	20s	100	1	3953
m	380	430	0	0	0	0	20s	100	1	3953
m	378	430	0	0	0	0	20s	100	1	3953
m	378	379	0	0	0	0	15s	100	1	3401
m	380	379	0	0	0	0	15s	100	1	3402
m	383	379	0	0	0	0	15s	100	1	3405
m	392	379	0	0	0	0	15s	100	1	3601
m	388	379	0	0	0	0	15s	100	1	3602
m	377	379	0	0	0	0	15s	100	1	3603
m	390	379	0	0	0	0	15s	100	1	3604
m	376	379	0	0	0	0	15s	100	1	3605
