//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
g	129	288	5	5	0	0	30s	100	1	6829
g	142	320	5	5	0	0	30s	100	1	6829
g	128	343	5	5	0	0	30s	100	1	6829
g	127	372	5	5	0	0	30s	100	1	6829
g	147	372	5	5	0	0	30s	100	1	6829
g	146	392	5	5	0	0	30s	100	1	6829
g	123	391	5	5	0	0	30s	100	1	6829
g	165	381	5	5	0	0	30s	100	1	6829
g	99	378	5	5	0	0	30s	100	1	6829
g	62	382	5	5	0	0	30s	100	1	6829
g	60	417	5	5	0	0	30s	100	1	6829
g	58	440	5	5	0	0	30s	100	1	6829
g	59	470	5	5	0	0	30s	100	1	6829
g	62	491	5	5	0	0	30s	100	1	6829
g	59	515	5	5	0	0	30s	100	1	6829
g	60	543	5	5	0	0	30s	100	1	6829
g	59	562	5	5	0	0	30s	100	1	6829
g	203	376	5	5	0	0	30s	100	1	6829
g	215	374	5	5	0	0	30s	100	1	6829
g	204	394	5	5	0	0	30s	100	1	6829
g	219	391	5	5	0	0	30s	100	1	6829
g	244	381	5	5	0	0	30s	100	1	6829
g	270	375	5	5	0	0	30s	100	1	6829
g	295	376	5	5	0	0	30s	100	1	6829
g	317	374	5	5	0	0	30s	100	1	6829
g	342	375	5	5	0	0	30s	100	1	6829
g	370	377	5	5	0	0	30s	100	1	6829
g	391	374	5	5	0	0	30s	100	1	6829
g	224	199	5	5	0	0	30s	100	1	6829
g	247	197	5	5	0	0	30s	100	1	6829
g	271	192	5	5	0	0	30s	100	1	6829
g	292	188	5	5	0	0	30s	100	1	6829
g	291	203	5	5	0	0	30s	100	1	6829
g	274	206	5	5	0	0	30s	100	1	6829
g	277	162	5	5	0	0	30s	100	1	6829
g	292	140	5	5	0	0	30s	100	1	6829
g	271	114	5	5	0	0	30s	100	1	6829
g	292	86	5	5	0	0	30s	100	1	6829
g	282	56	5	5	0	0	30s	100	1	6829
g	315	69	5	5	0	0	30s	100	1	6829
g	346	46	5	5	0	0	30s	100	1	6829
g	388	64	5	5	0	0	30s	100	1	6829
g	420	44	5	5	0	0	30s	100	1	6829
g	441	70	5	5	0	0	30s	100	1	6829
g	466	50	5	5	0	0	30s	100	1	6829
g	502	56	5	5	0	0	30s	100	1	6829
g	490	87	5	5	0	0	30s	100	1	6829
g	505	117	5	5	0	0	30s	100	1	6829
g	488	119	5	5	0	0	30s	100	1	6829
g	485	135	5	5	0	0	30s	100	1	6829
g	509	134	5	5	0	0	30s	100	1	6829
g	490	161	5	5	0	0	30s	100	1	6829
g	505	198	5	5	0	0	30s	100	1	6829
g	463	195	5	5	0	0	30s	100	1	6829
g	418	191	5	5	0	0	30s	100	1	6829
g	439	191	5	5	0	0	30s	100	1	6829
g	439	202	5	5	0	0	30s	100	1	6829
g	419	206	5	5	0	0	30s	100	1	6829
g	391	191	5	5	0	0	30s	100	1	6829
g	366	212	5	5	0	0	30s	100	1	6829
g	340	189	5	5	0	0	30s	100	1	6829
g	313	214	5	5	0	0	30s	100	1	6829
g	416	238	5	5	0	0	30s	100	1	6829
g	440	273	5	5	0	0	30s	100	1	6829
g	417	310	5	5	0	0	30s	100	1	6829
g	443	339	5	5	0	0	30s	100	1	6829
g	423	372	5	5	0	0	30s	100	1	6829
g	437	383	5	5	0	0	30s	100	1	6829
g	435	392	5	5	0	0	30s	100	1	6829
g	416	392	5	5	0	0	30s	100	1	6829
g	419	419	5	5	0	0	30s	100	1	6829
g	435	443	5	5	0	0	30s	100	1	6829
g	417	468	5	5	0	0	30s	100	1	6829
g	438	489	5	5	0	0	30s	100	1	6829
g	421	529	5	5	0	0	30s	100	1	6829
g	388	517	5	5	0	0	30s	100	1	6829
g	369	539	5	5	0	0	30s	100	1	6829
g	342	519	5	5	0	0	30s	100	1	6829
g	316	536	5	5	0	0	30s	100	1	6829
g	282	525	5	5	0	0	30s	100	1	6829
g	294	563	5	5	0	0	30s	100	1	6829
g	274	596	5	5	0	0	30s	100	1	6829
g	276	607	5	5	0	0	30s	100	1	6829
g	301	607	5	5	0	0	30s	100	1	6829
g	291	593	5	5	0	0	30s	100	1	6829
g	276	637	5	5	0	0	30s	100	1	6829
g	293	658	5	5	0	0	30s	100	1	6829
g	271	681	5	5	0	0	30s	100	1	6829
g	294	708	5	5	0	0	30s	100	1	6829
g	275	738	5	5	0	0	30s	100	1	6829
g	277	755	5	5	0	0	30s	100	1	6829
g	295	750	5	5	0	0	30s	100	1	6829
g	280	782	5	5	0	0	30s	100	1	6829
g	291	800	5	5	0	0	30s	100	1	6829
g	245	736	5	5	0	0	30s	100	1	6829
g	221	758	5	5	0	0	30s	100	1	6829
g	196	734	5	5	0	0	30s	100	1	6829
g	177	756	5	5	0	0	30s	100	1	6829
g	149	733	5	5	0	0	30s	100	1	6829
g	123	756	5	5	0	0	30s	100	1	6829
g	101	733	5	5	0	0	30s	100	1	6829
g	54	742	5	5	0	0	30s	100	1	6829
g	57	752	5	5	0	0	30s	100	1	6829
g	75	756	5	5	0	0	30s	100	1	6829
g	72	734	5	5	0	0	30s	100	1	6829
g	59	704	5	5	0	0	30s	100	1	6829
g	73	685	5	5	0	0	30s	100	1	6829
g	57	661	5	5	0	0	30s	100	1	6829
g	76	631	5	5	0	0	30s	100	1	6829
g	57	594	5	5	0	0	30s	100	1	6829
g	56	606	5	5	0	0	30s	100	1	6829
g	78	604	5	5	0	0	30s	100	1	6829
g	74	590	5	5	0	0	30s	100	1	6829
g	100	589	5	5	0	0	30s	100	1	6829
g	126	611	5	5	0	0	30s	100	1	6829
g	147	590	5	5	0	0	30s	100	1	6829
g	173	609	5	5	0	0	30s	100	1	6829
g	194	590	5	5	0	0	30s	100	1	6829
g	220	610	5	5	0	0	30s	100	1	6829
g	244	589	5	5	0	0	30s	100	1	6829
g	58	780	5	5	0	0	30s	100	1	6829
g	76	805	5	5	0	0	30s	100	1	6829
g	58	825	5	5	0	0	30s	100	1	6829
g	538	119	5	5	0	0	30s	100	1	6829
g	561	137	5	5	0	0	30s	100	1	6829
g	585	117	5	5	0	0	30s	100	1	6829
g	607	116	5	5	0	0	30s	100	1	6829
g	643	123	5	5	0	0	30s	100	1	6829
g	653	124	5	5	0	0	30s	100	1	6829
g	640	140	5	5	0	0	30s	100	1	6829
g	638	92	5	5	0	0	30s	100	1	6829
g	515	400	5	5	0	0	30s	100	1	6829
g	508	434	5	5	0	0	30s	100	1	6829
g	528	464	5	5	0	0	30s	100	1	6829
g	507	488	5	5	0	0	30s	100	1	6829
g	531	511	5	5	0	0	30s	100	1	6829
g	510	532	5	5	0	0	30s	100	1	6829
g	1235	117	5	5	0	0	30s	100	1	6829
g	1266	136	5	5	0	0	30s	100	1	6829
g	1285	119	5	5	0	0	30s	100	1	6829
g	1322	89	5	5	0	0	30s	100	1	6829
g	1325	68	5	5	0	0	30s	100	1	6829
g	1317	120	5	5	0	0	30s	100	1	6829
g	1335	120	5	5	0	0	30s	100	1	6829
g	1328	139	5	5	0	0	30s	100	1	6829
g	1311	137	5	5	0	0	30s	100	1	6829
g	1311	222	5	5	0	0	30s	100	1	6829
g	1337	250	5	5	0	0	30s	100	1	6829
g	1315	270	5	5	0	0	30s	100	1	6829
g	1356	112	5	5	0	0	30s	100	1	6829
g	1397	136	5	5	0	0	30s	100	1	6829
g	1431	125	5	5	0	0	30s	100	1	6829
g	1422	164	5	5	0	0	30s	100	1	6829
g	1444	197	5	5	0	0	30s	100	1	6829
g	1423	219	5	5	0	0	30s	100	1	6829
g	1445	245	5	5	0	0	30s	100	1	6829
g	1418	272	5	5	0	0	30s	100	1	6829
g	1422	298	5	5	0	0	30s	100	1	6829
g	1443	303	5	5	0	0	30s	100	1	6829
g	1440	318	5	5	0	0	30s	100	1	6829
g	1421	317	5	5	0	0	30s	100	1	6829
g	1392	302	5	5	0	0	30s	100	1	6829
g	1363	315	5	5	0	0	30s	100	1	6829
g	1319	298	5	5	0	0	30s	100	1	6829
g	1340	299	5	5	0	0	30s	100	1	6829
g	1336	317	5	5	0	0	30s	100	1	6829
g	1311	318	5	5	0	0	30s	100	1	6829
g	1287	296	5	5	0	0	30s	100	1	6829
g	1261	320	5	5	0	0	30s	100	1	6829
g	1236	299	5	5	0	0	30s	100	1	6829
g	1196	324	5	5	0	0	30s	100	1	6829
